Name,Rating,Country,Category,Price,ABV,Age,Brand,rate_impute,price_impute,abv_impute,age_impute
Jameson 12 Year Old Irish Whiskey,87,Ireland,Blended,50,40,12,Jameson,0,0,0,0
Ledaig 10 Year Old Single Malt Scotch,87,Scotland,Highlands,50,43,10,Ledaig,0,0,0,0
Four Roses Single Barrel Kentucky Straight Bourbon,87,USA,Bourbon,53,50,10,Four Roses,0,0,0,0
Tyrconnell 10 Year Old Single Malt Sherry Cask Finish Irish Whiskey,87,Ireland,Single Malt,60,40,10,Tyrconnell,0,0,0,0
George Dickel Tennessee Whiskey #12,87,USA,Corn,20,45,1,George Dickel,0,0,0,0
Bowman Brothers Virginia Straight Bourbon Whiskey,87,USA,Bourbon,40,45,1,Bowman,0,0,0,0
Kavalan Solist Vinho Single Malt Whisky,87,Taiwan,Single Malt,100,59.2,1,Kavalan,0,0,0,0
Midleton Very Rare Irish Whiskey,86.66666667,Ireland,Blended,132,40,2,Midleton,1,0,0,0
Balvenie 15 Year Old Single Barrel Single Malt Scotch,86,Scotland,Speyside,49,47.8,15,Balvenie,0,0,0,1
Jim Beam Black Bourbon,86,USA,Bourbon,20,43,13.90322624,Jim Beam,0,0,0,1
Caol Ila 12 Year Old Single Malt Scotch,86,Scotland,Islay,43,43,12,Caol Ila,0,1,0,0
Yamazaki Single Malt 12-Year Whisky,86,Japan,Single Malt,43,43,12,Yamazaki,0,0,0,0
Tullamore Dew 10 Year Old Irish Reserve Whiskey,86,Ireland,Blended,60,40,10,Tullamore,0,0,0,0
John L. Sullivan Irish Whiskey,86,Ireland,Blended,24,40,1,John L. Sullivan,0,0,0,0
Buffalo Trace Kentucky Straight Bourbon Whiskey,86,USA,Bourbon,24,45,1,Buffalo Trace,0,0,0,0
Jameson Irish Whiskey Gold Reserve,86,Ireland,Blended,62.66666667,40,1,Jameson,0,1,0,0
Black Maple Hill 23 Year Old Limited Edition Kentucky Straight Rye Whiskey,85,USA,Rye,100,47.5,23,Black Maple Hill,0,0,0,0
Auchentoshan 18-Year Old Single Malt Scotch Whisky,85,Scotland,Lowlands,98,54.7,18,Auchentoshan,0,0,0,0
Lagavulin 16 Scotch,85,Scotland,Islay,31.66666667,43,16,Lagavulin,0,1,0,0
Springbank 15 Year Old Campbeltown Single Malt Scotch Whisky,85,Scotland,Campbeltown,95,46,15,Springbank,0,0,0,0
Bushmills 10 Year Old Single Malt Irish Whiskey,85,Ireland,Single Malt,39,40,10,Bushmills,0,0,0,0
High West Double Rye Whiskey,85,USA,Rye,34,46,1,High West,0,0,0,0
Cedar Ridge Distillery Iowa Bourbon Whiskey,85,USA,Bourbon,36,40,1,Cedar Ridge,0,0,0,0
Amrut Fusion Single Malt Whisky,85,India,Single Malt,65,50,1,Amrut,0,0,0,0
Balvenie Portwood 21 Year Old Single Malt Scotch Whisky,84,Scotland,Speyside,68.83333333,43,21,Balvenie,0,1,0,0
Kilbeggan 15 Year Old Finest Irish Whiskey,84,Ireland,Blended,100,40,15,Kilbeggan,0,0,0,0
Powers Gold Label Irish Whiskey,84,Ireland,Blended,25,40,12,Powers,0,0,1,0
Tullamore Dew 12 Year Old Irish Special Reserve Whiskey,84,Ireland,Blended,43,40,12,Tullamore,0,1,0,0
Johnnie Walker Blue Label Scotch Whisky,84,Scotland,Blended,199,40,12,Johnnie Walker,0,1,0,0
Laphroaig 10 Year Old Single Malt Scotch Whisky,84,Scotland,Islay,47,40.85714078,10,Laphroaig,0,0,1,0
"Glen Breton ""Battle of the Glen"" 15 Year Old Single Malt Canadian Whisky",83.368419,Canada,Single Malt,35,43,15,Glenora,1,0,0,0
Oban 14 Year Old Single Malt Scotch,83,Scotland,Highlands,65,43,19.67346863,Oban,0,0,0,0
"Laphroaig 10 Year Old ""Cast Strength"" Islay Single Malt Scotch Whisky",83,Scotland,Islay,60,43,10,Laphroaig,0,0,0,0
Tyrconnell Single Malt Irish Whiskey,83,Ireland,Single Malt,33,40,1,Tyrconnell,0,0,0,0
Maker's Mark Bourbon 46,83,USA,Bourbon,35,47,1,Maker's Mark,0,0,0,0
Hudson Four Grain Bourbon,83,USA,Bourbon,42,46,1,Hudson,0,0,0,0
Forty Creek Port Wood Reserve Whiskey,83,Canada,Blended,70,45,1,Forty Creek,0,0,0,0
"Dalmore ""1263 King Alexander the Third"" Single Highland Malt Scotch",83,Scotland,Highlands,246,40,1,Dalmore,0,1,0,0
P & M Blended Whisky,82.66666667,France,Blended,40,40,1,P & M,1,0,0,0
High West Rocky Mountain Rye 21 Year Old Whiskey,82,USA,Rye,133,42.10344692,21,High West,0,0,1,0
Glenrothes 1985 Single Malt Scotch Whisky,82,Scotland,Speyside,100,43,19,Glenrothes,0,0,0,0
Old Parr Superior 18 Year Old Blended Scotch Whisky,82,Scotland,Blended,100,43,18,Old Parr,0,0,0,0
Kavalan Single Malt Whiskey,82,Taiwan,Single Malt,70,40,11.44680874,Kavalan,0,0,0,1
Buffalo Trace White Dog Mash #1 Corn Whiskey,82,USA,Corn,16,62.5,1,Buffalo Trace,0,0,0,0
George Dickel Tennessee Whisky #8,82,USA,Corn,17,40,1,George Dickel,0,0,0,0
Charter 101 Kentucky Straight Bourbon Whiskey,82,USA,Bourbon,19,50,1,Charter,0,0,0,0
Kavalan Concert Master Single Malt Whiskey,82,Taiwan,Single Malt,50,40,1,Kavalan,0,0,0,0
Bell's Scotch Whisky,82,Scotland,Blended,55,43,1,Bell's,0,0,0,0
Elijah Craig 18 Year Bourbon,81,USA,Bourbon,40,45,18,Elijah Craig,0,0,0,0
The Irishman Single Malt Whiskey,81,Ireland,Single Malt,50,40,10,The Irishman,0,0,0,0
Tullamore Dew 10 Year Old Single Malt Irish Whiskey,81,Ireland,Single Malt,69,40,10,Tullamore,0,0,0,0
Wild Turkey 81 Bourbon Whiskey,81,USA,Bourbon,17,41,8,Wild Turkey,0,0,0,0
Seagram's 7 Crown Dark Honey Whiskey,81,USA,Flavored,17,35.5,7,Seagram's,0,0,0,0
Jim Beam Red Stag Black Cherry Flavored Whiskey,81,USA,Flavored,18,40,4,Jim Beam,0,0,0,0
Old Forester Straight Bourbon 86 Proof,81,USA,Bourbon,19,43,4,Old Forester,0,0,0,0
Four Roses Yellow Label Straight Bourbon,81,USA,Bourbon,20,40,1,Four Roses,0,0,0,0
Barton Irish Whiskey,81,Ireland,Blended,20,40,1,Barton,0,0,0,0
Mickey Finn Irish Whiskey,81,Ireland,Flavored,25,40,1,Mickey Finn,0,0,0,0
Wolfhound Irish Whiskey,81,Ireland,Blended,25,40,1,Wolfhound,0,0,0,0
Collingwood Hand-Crafted Blended Canadian Whisky,81,Canada,Blended,28,40,1,Collingwood,0,0,0,0
Corsair Pumpkin Spice Moonshine,81,USA,Flavored,35,42.5,1,Corsair,0,0,0,0
Hudson Single Malt Whiskey,81,USA,Single Malt,43,46,1,Hudson,0,0,0,0
Prince Edward Canadian Rye,81,Canada,Rye,55,41,1,Price Edward,0,0,0,0
Balblair 1997 Highland Single Malt Scotch Whisky,81,Scotland,Highlands,58,43,1,Balblair,0,0,0,0
P & M Single Malt Whisky,81,France,Single Malt,60,42,1,P & M,0,0,0,0
Kavalan Solist Ex-Bourbon Single Malt Whisky,81,Taiwan,Single Malt,100,58.2,1,Kavalan,0,0,0,0
George Dickel Barrel Select Tennessee Whiskey,80.14379358,USA,Corn,26,43,12,George Dickel,1,0,0,0
Isle of Jura 16 Year Old Single Malt Scotch Whisky,80,Scotland,Islands,44.61538607,43,16,Isle of Jura,0,1,0,0
Evan Williams 1999 Vintage Bourbon Whiskey,80,USA,Bourbon,25,43,12,Evan Williams,0,0,1,0
Basil Hayden's 8 Year Old Bourbon Whiskey,80,USA,Bourbon,36,40,8,Basil Hayden,0,0,0,0
Booker's True Barrel Bourbon,80,USA,Bourbon,60,62,7,Booker's,0,0,0,0
Canadian Mist Black Diamond Canadian Whiskey,80,Canada,Rye,16,43,1,Canadian Mist,0,0,0,0
Amrut Peated Indian Single Malt Whiskey Cask Strength,80,India,Single Malt,85,62.8,1,Amrut,0,0,0,0
Longrow CV Campbeltown Single Malt Whisky,79.000024,Scotland,Campbeltown,61,46,1,Longrow,1,0,0,0
1972 Ridgemont Reserve Kentucky Straight Bourbon Whiskey,79.0000075,USA,Bourbon,28,46,1,Ridgemont Reserve,1,0,0,0
Glenlivet 18 Year Old Single Malt Scotch,79,Scotland,Speyside,69.36363047,57,18,Glenlivet,0,1,0,0
Bushmills Black Bush Irish Whiskey,79,Ireland,Blended,32,40,11,Bushmills,0,0,0,0
Royal Canadian Small Batch Canadian Whisky,79,Canada,Blended,27,40,1,Royal Canadian,0,0,0,0
Hudson Manhattan Rye,79,USA,Rye,44.50000956,46,1,Hudson,0,1,0,0
Johnnie Walker Gold Label Blended Scotch Whisky,78,Scotland,Blended,73,40,18,Johnnie Walker,0,0,0,0
Sazerac 18 Year Old Kentucky Straight Rye Whiskey,78,USA,Rye,75,45,18,Sazerac,0,0,0,0
Connemara Cask Strength Peated Single Malt Irish Whiskey,78,Ireland,Single Malt,65,58,16.91635177,Connemara,0,0,0,0
Suntory Whiskey Hibiki,78,Japan,Blended,92,43,12,Suntory,0,0,0,0
Grant's Family Reserve Blended Scotch Whisky,78,Scotland,Blended,62.66666667,40,1,William Grant & Sons,0,1,0,0
Balvenie Madeira Cask 17 Year Old Single Malt Scotch Whisky,77,Scotland,Speyside,179,43,17,Balvenie,0,1,0,0
Michael Collins Blended Irish Whiskey,77,Ireland,Blended,28,40,12,Michael Collins,0,1,0,0
Wild Turkey Bourbon 101,77,USA,Bourbon,20,50,8,Wild Turkey,0,0,0,0
Penderyn Single Malt Welsh Whisky,77,England,Single Malt,70,46,1,Penderyn,0,0,0,0
Johnnie Walker Green Label Scotch Whisky,76,Scotland,Blended,45,44.97101449,15,Johnnie Walker,0,0,1,0
Baker's Kentucky Straight Bourbon Whiskey,76,USA,Bourbon,38,53,7,Jim Beam,0,0,0,0
Amrut Indian Single Malt Whisky,76,India,Single Malt,36,46,1,Amrut,0,0,0,0
Wasmund's Copper Fox Rye Whisky,76,USA,Rye,46.75,45,1,Copper Fox,0,1,0,0
Amrut Peated Indian Single Malt Whisky,76,India,Single Malt,70,46,1,Amrut,0,0,0,0
Glen Breton Rare 10 Year Old Single Malt Canadian Whisky,75,Canada,Single Malt,85,43,10,Glen Breton,0,0,0,0
"Whyte & Mackay ""Old Luxury"" 19 Year Old Aged Blended Scotch Whisky",74,Scotland,Blended,58,40,19,Whyte & Mackay,0,0,0,0
The Tweeddale Blend,74,Scotland,Blended,30,46,12,Tweeddale,0,0,0,0
Michael Collins Single Malt Irish Whiskey,74,Ireland,Single Malt,40,40,10,Wiser's,0,0,0,0
Wiser's Legacy Canadian Whisky,74,Canada,Blended,50,45,1,Wiser's,0,0,0,0
Bushmills 1608 Irish Whiskey Limited Edition,74,Ireland,Blended,90,46,1,Bushmills,0,0,0,0
Connemara 12 Year Old Peated Single Malt Irish Whiskey,73,Ireland,Single Malt,90,40,12,Connemara,0,0,0,0
Jameson 18 Year Old Limited Reserve Irish Whiskey,73,Ireland,Blended,84,40,7.732393994,Jameson,0,0,0,1
Ardmore Traditional Cask Highland Single Malt Scotch Whisky,72,Scotland,Speyside,48,46,30,Ardmore,0,1,0,0
Canadian Club Sherry Cask Canadian Whisky,71,Canada,Blended,27,40,8,Canadian Club,0,0,0,0
Greenore 8 Year Old Single Grain Irish Whiskey,71,Ireland,Grain,50,43,8,Greenore,0,0,0,0
Johnnie Walker Black Label Scotch Whisky,70,Scotland,Blended,45,43,12,Johnnie Walker,0,0,0,0
Tullamore Dew Irish Whiskey,70,Ireland,Blended,26,40,1,Tullamore,0,0,0,0
Canadian Club Classic 12 Canadian Whisky,69,Canada,Blended,23,40,12,Canadian Club,0,0,0,0
Sazerac Kentucky Straight Rye Whiskey,69,USA,Rye,27,39.99999898,6,Sazerac,0,0,1,0
Jim Beam Kentucky Straight Bourbon Whiskey,69,USA,Bourbon,15,40,4,Jim Beam,0,0,0,0
Famous Grouse Blended Scotch Whisky,69,Scotland,Blended,20,40,1,Famous Grouse,0,0,0,0
Forty Creek Barrel Select Canadian Whiskey,69,Canada,Blended,64,40,1,Forty Creek,0,1,0,0
Glengoyne 10 Year Old Single Malt Scotch,68,Scotland,Highlands,40,40,10,Glengoyne,0,0,0,0
Benchmark Old No. 8 Kentucky Straight Bourbon Whiskey,68,USA,Bourbon,12,40,1,Benchmark,0,0,0,0
Crown Royal Canadian Whisky,68,Canada,Blended,25,40,1,Crown Royal,0,0,0,0
Wiser's 18 Year Old Canadian Whisky,67,Canada,Blended,65,40,18,Wiser's,0,0,0,0
Dalwhinnie 15 Year Old Single Malt Scotch,67,Scotland,Highlands,50,43,15,Dalwhinnie,0,0,0,0
Black Velvet Reserve Canadian Whiskey,67,Canada,Blended,14,40,8,Black Velvet,0,0,0,0
Forty Creek John K. Hall Small Batch Reserve Whisky,67,Canada,Blended,60,40,5.520914651,Forty Creek,0,0,0,1
Templeton Rye Whiskey,67,USA,Rye,35,40,4,Templeton,0,0,0,0
Bushmills Original Irish Whiskey,65,Ireland,Blended,24,40,1,Bushmills,0,0,0,0
Jameson Irish Whiskey,65,Ireland,Blended,25,40,1,Jameson,0,0,0,0
Texas Crown Club Canadian Whisky,64,Canada,Blended,22,40,4,Texas Crown,0,0,0,0
Feckin Irish Whiskey,64,Ireland,Blended,20,40,1,Feckin,0,0,0,0
8 Seconds Canadian Whiskey,64,Canada,Blended,30,40,1,8 Seconds,0,0,0,0
Early Times 354 Bourbon,63.66666667,USA,Bourbon,16,40,1,Early Times,1,0,0,0
Wiser's Small Batch Canadian Whisky,60,Canada,Rye,29,43,1,Wiser's,0,0,0,0
Danfield's Private Reserve Small Batch Canaidan Whiskey,60,Canada,Blended,62.66666667,40,1,Danfield,0,1,0,0
Johnnie Walker Red Label Whisky,58,Scotland,Blended,30,40,1,Johnnie Walker,0,0,0,0
Jim Beam Straight Rye Whiskey,57,USA,Rye,15,51,5.886578791,Jim Beam,0,0,0,1
Catoctin Creek Organic Roundstone Rye Whisky,57,USA,Rye,38,40,1,Catoctin Creek,0,0,0,0
Canadian Club Reserve Canadian Whisky,56,Canada,Blended,16,40,10,Canadian Club,0,0,0,0
Pendleton Blended Canadian Whisky,56,Canada,Blended,26,43.8709694,1,Hood River,0,0,1,0
Jack Daniel's No. 7 Whiskey,54,USA,Blended,20,40,7,Jack Daniel's,0,0,0,0
Ellington Canadian Whisky,54,Canada,Blended,11,40,1,Ellington,0,0,0,0
Origine Irish Whiskey,54,Ireland,Blended,17,40,1,Origine,0,0,0,0
Canadian Club 6 Year Old Canadian Whisky,53,Canada,Blended,12,43.24589803,6,Canadian Club,0,0,1,0
Slane Castle Irish Whiskey,50,Ireland,Blended,25,40,1,Slane Castle,0,0,1,0
Canadian Mist Blended Canadian Whisky,48,Canada,Blended,12,40,1,Canadian Mist,0,0,0,1
Rich & Rare Canadian Whisky,47,Canada,Blended,10,40,1,Rich & Rare,0,0,0,0
Kellan Irish Whiskey,47,Ireland,Blended,20,40,1,Kellan,0,0,0,0
Canadian LTD Blended Canadian Whiskey,43,Canada,Blended,10,40,1,Canadian LTD,1,0,0,0
McAdams Canadian Whisky,40,Canada,Blended,8,40,1,McAdams,1,0,0,0
Canadian Hunter Canadian Whisky,40,Canada,Blended,62.66666667,40,1,Canadian Hunter,0,1,0,0