random_constant_ticker,ticker,Open,ROE,52-Week Change,Beta,PE Ratio,EPS,Avg. Volume
JWJ,LMT,388.9,346.67,,1.18,19.14,20.52,1056671
NNT,UNH,232.82,24.2,-10.96,0.7,17.61,13.31,3751852
BQU,AMGN,196.16,61.92,-4.08,0.8,15.42,12.6,3182452
CJP,AAPL,217.73,,0.76,1.08,18.66,11.78,26373220
YTU,PH,180.36,25.57,-5.14,1.81,15.61,11.48,842249
DBK,IBM,142.56,47.98,,1.56,14.7,9.69,3778844
YZN,HON,167.04,39.55,4.38,1.23,17.58,9.45,
BCX,SYK,217,33.17,23.66,1.01,,9.35,1007400
XVK,TMO,295.41,12.84,23.52,1.14,33.75,8.76,1477690
MVW,DVN,27.24,12.98,-28.5,,3.28,8.56,6752279
FXO,CB,158.68,7.21,14.36,0.6,19.44,8.16,1576322
JIG,MCD,209.3,,31.46,0.33,27.24,7.61,2859987
ECK,KLAC,148.76,54.68,45.95,1.56,20.19,7.49,1561912
HQG,CINF,112.56,14.36,43.91,0.55,15.09,,665549
UGT,C,68.96,9.26,-2.14,1.88,9.71,7.19,13820020
LTX,NUE,52.3,22.81,-17.29,,7.46,7.1,2128777
XPZ,SRE,142.02,12.15,20.87,0.3,20.41,6.94,1356979
RGJ,PCAR,71.03,25.76,-0.24,1.39,10.45,6.79,1676344
WEI,EMN,74.91,15.63,-23.59,1.39,11.44,6.5,
GWP,TGT,107.25,27.34,21.99,0.62,17.71,6.04,5479538
MTM,OMC,79.58,45.88,13.95,0.39,13.27,5.95,1795853
SQK,R,53.04,11.51,-29.2,2.06,,5.91,511126
LTF,IR,124.03,20.84,19.84,1.17,21.47,5.77,1268131
MQA,GPC,98.02,21.84,-3.38,0.86,18.14,5.38,758092
NNM,V,176.17,34.84,19.29,,33.85,5.21,6793855
XAS,KMB,131.54,1617.54,10,0.47,24.88,5.18,1718563
KTR,ECL,197.28,18.68,,0.67,37.43,5.12,1185842
WYV,MSFT,135.83,42.41,20.42,0.97,26.93,,24449374
DKB,DDS,66.35,7.86,-16.86,1.22,,4.94,562103
ULL,WFC,48.46,12.09,-10.13,1.21,10.09,4.84,19720512
GHC,KSS,52.11,13.45,-33.25,1.12,11.68,4.53,
GCA,CAH,47.5,22.01,-8.75,1.65,10.77,4.53,2853655
QVN,DUK,93.83,7.14,13.67,0.12,20.64,,2708131
BYI,LSI,102.39,10.23,8.14,0.29,23.06,4.47,365914
QAL,SWK,144.94,8.16,-4.73,,32.36,4.44,1026041
MUV,WMT,116.54,17.51,21.1,0.65,26.14,4.42,5652846
QVI,LUV,54.39,24.06,-11.48,1.74,12.96,4.31,3552115
ZVN,INTC,51.9,27.24,13.23,0.7,12.13,4.3,
CCL,YUM,110.48,,25.2,0.41,26.33,4.2,1436361
YSR,ED,89.89,8.29,12.3,0.18,21.43,4.2,1610698
UGS,XOM,75.04,9.41,-11.84,,17.79,4.15,10744490
RTI,ZION,44.45,11.3,-12.29,1.52,10.88,4.15,2364149
YWF,AFL,51.53,11.97,9.84,0.51,12.62,4.1,3281522
CRH,DOV,99.05,21.36,11.78,1.73,24.28,4.09,913026
WYX,BR,123.4,43.4,-7.75,0.68,30.75,4.06,645793
QJW,BBT,52.52,10.8,5.71,1.22,13.07,4.04,4476719
CRM,BK,46.38,9.48,-9.14,1.05,12.13,3.85,5003141
DQM,RHI,56.42,40.85,-20.74,1.42,15.03,3.8,1300855
FMV,CTXS,95.66,92.36,-12.82,0.72,25.89,3.72,
QHY,FMC,91.04,24.98,22.04,1.17,24.65,3.69,898749
NFK,CVS,63.3,8.9,,1,17.39,3.65,8171668
QHF,IFF,126.26,8.94,-11.73,0.54,36.61,3.34,1146365
SBP,A,77.32,23.02,11.93,1.28,23.07,3.34,2564639
NDS,PHM,35.21,19.49,30.25,0.49,10.68,3.29,3557887
APQ,SYY,77.95,,5.67,0.61,24.12,3.2,2675119
DSY,JWN,34.29,51.82,-44.47,0.69,11.74,3.03,5290293
CZK,GIS,53.7,23.52,23.59,0.9,18.8,2.9,3954166
DNK,PEG,60.82,10.13,14.52,,21.13,2.88,2271684
CRI,QCOM,77.58,24.3,4.44,1.51,28.61,2.73,10720426
QAD,HLT,95.06,301.3,17.97,0.92,34.48,2.71,1945236
OYY,BEN,29.56,11.63,-6.07,1.08,10.95,2.71,
XMI,UN,59.77,76.18,5.9,0.35,23.57,2.53,1081044
BLH,KBH,30.21,12.74,,1.18,12.02,2.52,1667015
MRW,K,63.4,26.54,-13.06,0.77,,2.49,2661749
RGQ,GPS,18.96,26.91,-31.27,0.78,7.56,2.45,7081280
TCN,ADM,41.43,7.01,-15.44,1.02,18.05,2.32,3719922
OGS,HI,31.25,19.56,-39.43,1.34,,2.22,737787
NIU,PFE,36.46,19.49,-15.35,0.43,17.01,2.16,25785811
ZEF,KR,26.1,20.12,-11.3,0.76,12.92,2.01,10663955
OJC,MTG,12.63,17.94,0.85,1.4,7.29,,4589215
MQR,ABT,83.91,9.21,,0.81,51.24,1.63,4935190
AGM,BLL,72.76,13.81,60.73,0.52,47.47,1.53,2258044
WRZ,SUN,31.81,24.31,11.09,,20.39,1.53,283611
GSU,G,39.23,19.95,,1.06,26.62,1.48,1223973
XHN,SLM,9.22,19.22,-18.03,1.69,7.67,,3241073
HWZ,CPB,46.07,38.15,16.67,0.79,66.82,0.7,2234634
BRW,AES,15.84,,16.36,0.72,26.62,0.6,4943719
VNQ,F,9.36,6.09,-2.92,0.97,,0.54,36603920
NQE,AM,7.65,,-54.63,1.24,19.33,0.4,6568796
ZUV,NI,29.18,2.88,12.04,0.31,87.18,0.33,2997801
JIN,ODP,1.67,1.46,-48.8,2.32,29.82,0.057,